Start,End,kW_used,charged,sup_rate
1/21/2020,2/20/2020,174492,24846.45,0.078
2/20/2020,3/19/2020,153270,21836.03,0.078
3/19/2020,4/21/2020,156807,22158.87,0.078
4/21/2020,5/20/2020,154449,22509.09,0.078
5/20/2020,6/19/2020,175671,25514.22,0.078
6/19/2020,7/22/2020,225189,31328.66,0.078
7/22/2020,8/20/2020,216936,31139.58,0.078
8/20/2020,9/21/2020,226368,32562.87,0.078
9/21/2020,10/21/2020,208683,31177.54,0.078
10/21/2020,11/19/2020,187461,28658.88,0.078
11/19/2020,12/21/2020,173313,25681.03,0.078
12/21/2020,1/21/2021,161523,25231.13,0.078
1/21/2021,2/19/2021,180387,27518.23,0.078
2/19/2021,3/22/2021,187461,29073.59,0.078
3/22/2021,4/22/2021,187461,28803.28,0.078
4/22/2021,5/20/2021,180387,28710.08,0.078
5/20/2021,6/21/2021,227547,34871.6,0.078
6/21/2021,7/21/2021,219294,33821.64,0.078
7/21/2021,8/20/2021,224010,34049.96,0.078
8/20/2021,9/21/2021,214578,33581.86,0.078
9/21/2021,10/20/2021,181566,29634.53,0.078
10/20/2021,11/18/2021,183924,29867.6,0.078
11/18/2021,12/20/2021,173313,28584.93,0.078
12/20/2021,1/20/2022,156807,25041.18,0.078
1/20/2022,2/18/2022,142659,22634.56,0.078
2/18/2022,3/21/2022,141480,22178.36,0.078
3/21/2022,4/21/2022,143838,22743.98,0.078
4/21/2022,5/20/2022,135585,21750.13,0.078
5/20/2022,6/21/2022,169776,27382.69,0.078
6/21/2022,7/21/2022,159165,25180.85,0.078
7/21/2022,8/22/2022,194535,28381.26,0.078
8/22/2022,9/21/2022,168597,25176.06,0.078
9/21/2022,10/20/2022,137943,21102.08,0.078
10/20/2022,11/18/2022,146196,22230.03,0.078